freq,word,pron,type1
7,修理,シューリ,名詞
7,揃っ,ソロッ,動詞
7,ゆうべ,ユーベ,名詞
7,いじめる,イジメル,動詞
7,入り,ハイリ,動詞
7,しょうが,ショーガ,名詞
7,参加,サンカ,名詞
7,感動,カンドー,名詞
7,戻っ,モドッ,動詞
7,先輩,センパイ,名詞
7,周り,マワリ,名詞
7,加減,カゲン,名詞
7,いきなり,イキナリ,副詞
7,全然,ゼンゼン,副詞
7,どちら,ドチラ,名詞
7,なにか,ナニカ,副詞
7,知り合い,シリアイ,名詞
7,かわいい,カワイイ,形容詞
7,ひとつ,ヒトツ,名詞
7,考える,カンガエル,動詞
7,渡し,ワタシ,動詞
7,準備,ジュンビ,名詞
7,手伝い,テツダイ,動詞
7,うまい,ウマイ,形容詞
7,泣き,ナキ,動詞
7,泣く,ナク,動詞
7,紹介,ショーカイ,名詞
7,頼ま,タノマ,動詞
7,行か,イカ,動詞
7,こちら,コチラ,名詞
7,大人,オトナ,名詞
7,お世話,オセワ,名詞
7,がんばっ,ガンバッ,動詞
7,認め,ミトメ,動詞
7,最高,サイコー,名詞
7,難しい,ムズカシイ,形容詞
7,いたん,イタン,動詞
7,バイク,バイク,名詞
7,いくら,イクラ,名詞
7,いろんな,イロンナ,連体詞
6,困り,コマリ,動詞
6,楽しく,タノシク,形容詞
6,ご飯,ゴハン,名詞
6,いよいよ,イヨイヨ,副詞
6,楽し,タノシ,形容詞
6,本番,ホンバン,名詞
6,ゆっくり,ユックリ,副詞
6,校内,コーナイ,名詞
6,ピクニック,ピクニック,名詞
6,多い,オーイ,形容詞
6,知り,シリ,動詞
6,資料,シリョー,名詞
6,質問,シツモン,名詞
6,増え,フエ,動詞
6,てん,テン,動詞
6,だめ,ダメ,名詞
6,責任,セキニン,名詞
6,うっ,ウッ,動詞
6,かい,カイ,助詞
6,させ,サセ,動詞
6,そん,ソン,名詞
6,だし,ダシ,名詞
6,そば,ソバ,名詞
6,眠っ,ネムッ,動詞
6,上手く,ウマク,形容詞
6,掃除,ソージ,名詞
6,カッコ,カッコ,名詞
6,ボケ,ボケ,名詞
6,ヒマ,ヒマ,名詞
6,男子,ダンシ,名詞
6,わか,ワカ,動詞
6,わっ,ワッ,副詞
6,再建,サイケン,名詞
6,遅く,オソク,形容詞
6,父さん,トーサン,名詞
6,起こし,オコシ,動詞
6,会話,カイワ,名詞
6,いただけ,イタダケ,動詞
6,いただい,イタダイ,動詞
6,無視,ムシ,名詞
6,動物,ドーブツ,名詞
6,落ち着い,オチツイ,動詞
6,想像,ソーゾー,名詞
6,んじゃ,ンジャ,接続詞
6,欲しい,ホシイ,形容詞
6,出来,デキ,名詞
6,タイミング,タイミング,名詞
6,付き合い,ツキアイ,名詞
6,退院,タイイン,名詞
6,当たり前,アタリマエ,名詞
6,見舞い,ミマイ,名詞
6,彫っ,ホッ,動詞
6,演技,エンギ,名詞
6,強い,ツヨイ,形容詞
6,強く,ツヨク,形容詞
6,悪かっ,ワルカッ,形容詞
6,ひどい,ヒドイ,形容詞
6,夏休み,ナツヤスミ,名詞
6,帰ろ,カエロ,動詞
6,興奮,コーフン,名詞
6,大きい,オーキイ,形容詞
6,作り,ズクリ,名詞
6,しかも,シカモ,接続詞
6,美しい,ウツクシイ,形容詞
6,会え,アエ,動詞
6,三井,ミツイ,名詞
6,予定,ヨテイ,名詞
6,聞く,キク,動詞
6,人数,ニンズー,名詞
6,今回,コンカイ,名詞
6,約束,ヤクソク,名詞
6,お手伝い,オテツダイ,名詞
6,事情,ジジョー,名詞
6,結局,ケッキョク,名詞
6,思え,オモエ,動詞
6,素直,スナオ,名詞
6,仕方,シカタ,名詞
6,ご馳走,ゴチソー,名詞
6,手伝う,テツダウ,動詞
6,女性,ジョセイ,名詞
6,泊め,トメ,動詞
6,集まっ,アツマッ,動詞
6,きのう,キノー,名詞
6,かしら,カシラ,助詞
6,かなり,カナリ,副詞
6,セリフ,セリフ,名詞
6,タイプ,タイプ,名詞
6,食っ,クッ,動詞
6,食い,クイ,動詞
6,ビデオ,ビデオ,名詞
6,訊く,キク,動詞
6,訊い,キイ,動詞
